N° Lector;UBICACIÓN;Estado;Fecha
375;Lector Control De Acceso T2C 2035 pre pasarela Salida Emergencia C2   ;;
376;Lector Control De Acceso T2C 2036 Acceso a plataforma Exterior  C2;;
377;Lector Control De Acceso T2C 2037  Acceso a plataforma Interior  C2;;
378;Lector Control De Acceso T2C 2038 Prepuente a pasillo desemb. C2B;;
379;Lector Control De Acceso T2C 2039 Prepuente a pasillo desemb. C2A;;
380;Lector Control De Acceso T2C 2040 pre pasarela Salida Emergencia C5   ;;
381;Lector Control De Acceso T2C 2042  Acceso a plataforma Interior  C5;;
382;Lector Control De Acceso T2C 2041  Acceso a plataforma Exterior  C5;;
383;Lector Control De Acceso T2C 2043 Prepuente a pasillo desemb. C5B;;
384;Lector Control De Acceso T2C 2044 Prepuente a pasillo desemb. C5A;;
385;Lector Control De Acceso T2C 2045 pre pasarela Salida Emergencia C3  ;;
386;Lector Control De Acceso T2C 2046 Acceso a plataforma Exterior  C3;;
387;Lector Control De Acceso T2C 2047 Acceso a plataforma Interior  C3;;
388;Lector Control De Acceso T2C 2048 Prepuente a pasillo desemb. C3B;;
389;Lector Control De Acceso T2C 2049 Prepuente a pasillo desemb. C3A;;
390;Lector Control De Acceso T2C 2050 pre pasarela Salida Emergencia C1  ;;
391;Lector Control De Acceso T2C 2051 Acceso a plataforma Exterior  C1;;
392;Lector Control De Acceso T2C 2052 Acceso a plataforma Interior  C1;;
393;Lector Control De Acceso T2C 2053 Prepuente a pasillo desemb. C1B;;
394;Lector Control De Acceso T2C 2054 Prepuente a pasillo desemb. C1A;;
395;Lector Control De Acceso T2C 3001 Embarque Puente C4 Lado Sur-Pon;;
396;Lector Control De Acceso T2C 3002 Embarque Puente C4 Lado Nor-Pon;;
397;Lector Control De Acceso T2C 3004 Embarque Puente C4 Lado Sur-Ori;;
398;Lector Control De Acceso T2C 3003 Embarque Puente C4 Lado Nor-Ori;;
399;Lector Control De Acceso T2C 3005 Embarque Puente C5 Lado Nor-Pon;;
400;Lector Control De Acceso T2C 3006 Embarque Puente C5 Lado Sur-Pon;;
