N° Lector;UBICACIÓN;Estado;Fecha
722;LECTOR CONTROL DE ACCESO T2E 0002 Ingreso al Subterraneo Interno;;
723;LECTOR CONTROL DE ACCESO T2E 1020 PBB SALA PTE. E6  Nivel 1T2ELT020;;
724;LECTOR CONTROL DE ACCESO T2E 1021 PBB SALA PTE. E4  Nivel 1T2ELT023;;
725;LECTOR CONTROL DE ACCESO T2E 1022 PBB SALA PTE. E2  Nivel 1T2ELT024;;
726;LECTOR CONTROL DE ACCESO T2E 1023 PBB SALA PTE. E5  Nivel 1T2ELT028;;
727;LECTOR CONTROL DE ACCESO T2E 1024 PBB SALA PTE. E3  Nivel 1T2ELT030;;
728;LECTOR CONTROL DE ACCESO T2E 1025 PBB SALA PTE. E1  Nivel 1T2ELT031;;
729;LECTOR CONTROL DE ACCESO T2E 2002 E 6 a Pasillo Desembarque Nivel 2 Interior;;
730;LECTOR CONTROL DE ACCESO T2E 2001 E 6 a Pasillo Desembarque Nivel 2 Exterior;;
731;LECTOR CONTROL DE ACCESO T2E 2008 E 5 a Pasillo Desembarque Nivel 2 Interior;;
732;LECTOR CONTROL DE ACCESO T2E 2007 E 5 a Pasillo Desembarque Nivel 2 Exterior;;
733;LECTOR CONTROL DE ACCESO T2E 2009 E 3 a Pasillo Desembarque Nivel 2 Interior;;
734;LECTOR CONTROL DE ACCESO T2E 2010 E 3 a Pasillo Desembarque Nivel 2 Exterior;;
735;LECTOR CONTROL DE ACCESO T2E 2004 E 4 a Pasillo Desembarque Nivel 2 Interior;;
736;LECTOR CONTROL DE ACCESO T2E 2003 E 4 a Pasillo Desembarque Nivel 2 Exterior;;
737;LECTOR CONTROL DE ACCESO T2E 2012 E 1 a Pasillo Desembarque Nivel 2 Interior;;
738;LECTOR CONTROL DE ACCESO T2E 2011 E 1 a Pasillo Desembarque Nivel 2 Exterior;;
739;LECTOR CONTROL DE ACCESO T2E 2006 E 2 a Pasillo Desembarque Nivel 2 Interior;;
740;LECTOR CONTROL DE ACCESO T2E 2005 E 2 a Pasillo Desembarque Nivel 2 Exterior;;
741;LECTOR CONTROL DE ACCESO T2E 2017 Conector T2E - T2M Lado Sur-Ori Nivel 2;;
742;LECTOR CONTROL DE ACCESO T2E 2018 Conector T2E - T2M Lado Nor-Ori Nivel 2;;
743;LECTOR CONTROL DE ACCESO T2E 2016 Conector T2E - T2M Lado Sur-Pon Nivel 2;;
744;LECTOR CONTROL DE ACCESO T2E 2015 Conector T2E - T2M Lado Nor-Pon Nivel 2;;
745;LECTOR CONTROL DE ACCESO T2E 2014 Sala Clima Conector T2E - M Nivel 2T2ELT001 Sur;;
746;LECTOR CONTROL DE ACCESO T2E Escalera Emergencia  64  Nivel 2;;
747;LECTOR CONTROL DE ACCESO T2E 2013 Sala Clima Conector T2E - M Nivel 2T2ELT002 Norte;;
748;LECTOR CONTROL DE ACCESO T2E Escalera Emergencia  65  Nivel 2;;
749; LECTOR CONTROL DE ACCESO T2E 2021 pre pasarela E 6   PTA EMERGENCIA;;
750;LECTOR CONTROL DE ACCESO T2E 2020 E 6 Acceso Plataforma Interior;;
751;LECTOR CONTROL DE ACCESO T2E 2019 E 6 Acceso Plataforma Exterior;;
752;LECTOR CONTROL DE ACCESO T2E 2031 Pre-puente Pasillo Desembarque E6B;;
753;LECTOR CONTROL DE ACCESO T2E 2037 Pre-puente Pasillo Desembarque E6A;;
754;LECTOR CONTROL DE ACCESO T2E 2026 pre pasarela E 4  PTA EMERGENCIA;;
755;LECTOR CONTROL DE ACCESO T2E 2022 E 4 Acceso Plataforma Interior;;
756;LECTOR CONTROL DE ACCESO T2E 2021 E 4 Acceso Plataforma Exterior;;
757;LECTOR CONTROL DE ACCESO T2E 2032 Pre-puente Pasillo Desembarque E4B;;
758;LECTOR CONTROL DE ACCESO T2E 2038 Pre-puente Pasillo Desembarque E4A;;
759;LECTOR CONTROL DE ACCESO T2E 2031 pre pasarela E 2  PTA EMERGENCIA;;
760;LECTOR CONTROL DE ACCESO T2E 2024 E 2 Acceso Plataforma Interior;;
761;LECTOR CONTROL DE ACCESO T2E 2023 E 2 Acceso Plataforma Exterior;;
762;LECTOR CONTROL DE ACCESO T2E 2033 Pre-puente Pasillo Desembarque E2B;;
763;LECTOR CONTROL DE ACCESO T2E 2039 Pre-puente Pasillo Desembarque E2A;;
764;LECTOR CONTROL DE ACCESO T2E 2036 pre pasarela E5  PTA EMERGENCIA;;
765;LECTOR CONTROL DE ACCESO T2E 2025 E 5 Acceso Plataforma Interior;;
766;LECTOR CONTROL DE ACCESO T2E 2026 E 5 Acceso Plataforma Exterior;;
767;LECTOR CONTROL DE ACCESO T2E 2034 Pre-puente Pasillo Desembarque E5B;;
768;LECTOR CONTROL DE ACCESO T2E 2040 Pre-puente Pasillo Desembarque E5A;;
769;LECTOR CONTROL DE ACCESO T2E 2041 pre pasarela E 3  PTA EMERGENCIA;;
770;LECTOR CONTROL DE ACCESO T2E 2027 E 3 Acceso Plataforma Interior ;;
771;LECTOR CONTROL DE ACCESO T2E 2028 E 3 Acceso Plataforma Exterior;;
772;LECTOR CONTROL DE ACCESO T2E 2035 Pre-puente Pasillo Desembarque E3B ;;
773;LECTOR CONTROL DE ACCESO T2E 2041 Pre-puente Pasillo Desembarque E3A;;
774;LECTOR CONTROL DE ACCESO T2E 2046 pre pasarela E1  PTA EMERGENCIA;;
775;LECTOR CONTROL DE ACCESO T2E 2029 E 1 Acceso Plataforma Interior;;
776;LECTOR CONTROL DE ACCESO T2E 2030 E 1 Acceso Plataforma Exterior;;
777;LECTOR CONTROL DE ACCESO T2E 2036 Pre-puente Pasillo Desembarque E1B;;
778;LECTOR CONTROL DE ACCESO T2E 2042 Pre-puente Pasillo Desembarque E1A;;
779;LECTOR CONTROL DE ACCESO T2E 3013 Embarque Puente E6 Lado Sur-Ori;;
780;LECTOR CONTROL DE ACCESO T2E 3012 Embarque Puente E6 Lado Nor-Ori;;
781;LECTOR CONTROL DE ACCESO T2E 3010 Embarque Puente E6 Lado Sur-Pon;;
782;LECTOR CONTROL DE ACCESO T2E 3011 Embarque Puente E6 Lado Nor-Pon;;
783;LECTOR CONTROL DE ACCESO T2E 3022 Embarque Puente E5 Lado Nor-Pon;;
784;LECTOR CONTROL DE ACCESO T2E 3023 Embarque Puente E5 Lado Sur-Pon;;
785;LECTOR CONTROL DE ACCESO T2E 3025 Embarque Puente E5 Lado Nor-Ori;;
786;LECTOR CONTROL DE ACCESO T2E 3024 Embarque Puente E5 Lado Sur-Ori;;
787;LECTOR CONTROL DE ACCESO T2E 3002 Sala Electrica Nivel 3T2ELT025;;
788;LECTOR CONTROL DE ACCESO T2E 3001 Sala CCDD Nivel 3T2ELT016;;
789;LECTOR CONTROL DE ACCESO T2E 3026 Embarque Puente E3 Lado Nor-Pon;;
790;LECTOR CONTROL DE ACCESO T2E 3027 Embarque Puente E3 Lado Sur-Pon;;
791;LECTOR CONTROL DE ACCESO T2E 3029 Embarque Puente E3 Lado Nor-Ori;;
792;LECTOR CONTROL DE ACCESO T2E 3028 Embarque Puente E3 Lado Sur-Ori;;
793;LECTOR CONTROL DE ACCESO T2E 3016 Embarque Puente E4 Lado Sur-Ori;;
794;LECTOR CONTROL DE ACCESO T2E 3017 Embarque Puente E4 Lado Nor-Ori;;
795;LECTOR CONTROL DE ACCESO T2E 3014 Embarque Puente E4 Lado Sur-Pon;;
796;LECTOR CONTROL DE ACCESO T2E 3015 Embarque Puente E4 Lado Nor-Pon;;
797;LECTOR CONTROL DE ACCESO T2E 3031 Embarque Puente E1 Lado Nor-Pon;;
798;LECTOR CONTROL DE ACCESO T2E 3030 Embarque Puente E1 Lado Sur-Pon;;
799;LECTOR CONTROL DE ACCESO T2E 3033 Embarque Puente E1 Lado Nor-Ori;;
800;LECTOR CONTROL DE ACCESO T2E 3032 Embarque Puente E1 Lado Sur-Ori;;
801;LECTOR CONTROL DE ACCESO T2E 3004 Sala CCDD Nivel 3T2ELT004;;
802;LECTOR CONTROL DE ACCESO T2E 3003 Sala Electrica Nivel 3T2ELT002;;
803;LECTOR CONTROL DE ACCESO T2E 3021 Embarque Puente E2 Lado Sur-Ori;;
804;LECTOR CONTROL DE ACCESO T2E 3020 Embarque Puente E2 Lado Nor-Ori;;
805;LECTOR CONTROL DE ACCESO T2E 3019 Embarque Puente E2 Lado Sur-Pon;;
806;LECTOR CONTROL DE ACCESO T2E 3018 Embarque Puente E2 Lado Nor-Pon;;
807;LECTOR CONTROL DE ACCESO T2E 3005 Sala CCDD Nivel 3T2ELT027;;
808;LECTOR CONTROL DE ACCESO T2E 3006 Sala Electrica Nivel 3T2ELT013;;
809;LECTOR CONTROL DE ACCESO T2E 3007 Sala Electrica y CCD Costado Ascensor;;
810;LECTOR CONTROL DE ACCESO T2E 3009 Vestibulo al ASC 24 Nivel 3;;
811;LECTOR CONTROL DE ACCESO T2E 3008 Vestibulo escala emergencia Nivel 3;;
812;LECTOR CONTROL DE ACCESO T2E 3036 Conector T2E-T2M Lado Sur-Ori Nivel 3;;
813;LECTOR CONTROL DE ACCESO T2E 3037 Conector T2E-T2M Lado Nor-Ori Nivel 3;;
814;LECTOR CONTROL DE ACCESO T2E 3034 Conector T2E-T2M Lado Sur-Pon Nivel 3;;
815;LECTOR CONTROL DE ACCESO T2E 3035 Conector T2E-T2M Lado Nor-Pon Nivel 3;;
816;LECTOR CONTROL DE ACCESO T2E  Escalera Emergencia  64  Nivel 3;;
817;LECTOR CONTROL DE ACCESO T2E  Escalera Emergencia  65  Nivel 3;;
818;LECTOR CONTROL DE ACCESO T2E 2043 Escala Servicio Plataforma Puente E1A     REVISAR NOMBRES;;
819;LECTOR CONTROL DE ACCESO T2E 2044 Escala Servicio Plataforma Puente E1B;;
820;LECTOR CONTROL DE ACCESO T2E 2045 Escala Servicio Plataforma Puente E2A;;
821;LECTOR CONTROL DE ACCESO T2E 2046 Escala Servicio Plataforma Puente E2B;;
822;LECTOR CONTROL DE ACCESO T2E 2047 Escala Servicio Plataforma Puente E3A;;
823;LECTOR CONTROL DE ACCESO T2E 2048 Escala Servicio Plataforma Puente E3B;;
824;LECTOR CONTROL DE ACCESO T2E 2049 Escala Servicio Plataforma Puente E4A;;
825;LECTOR CONTROL DE ACCESO T2E 2050 Escala Servicio Plataforma Puente E4B;;
826;LECTOR CONTROL DE ACCESO T2E 2051 Escala Servicio Plataforma Puente E5A;;
827;LECTOR CONTROL DE ACCESO T2E 2052 Escala Servicio Plataforma Puente E5B;;
828;LECTOR CONTROL DE ACCESO T2E 2053 Escala Servicio Plataforma Puente E6A;;
829;LECTOR CONTROL DE ACCESO T2E 2054 Escala Servicio Plataforma Puente E6B;;
900;Lector Control De Acceso T2F Sala Clima  1T2FLT001 Oriente;;
901;Lector Control De Acceso T2F Sala Electrica  1T2FLT005  Oriente;;
902;Lector Control De Acceso T2F Sala CCDD 1T2FLT003  Oriente;;
903;Lector Control De Acceso T2F Sub Estacion  1T2FLT030 Poniente;;
904;Lector Control De Acceso T2F Sub Estacion  1T2FLT030 Oriente;;
905;Lector Control De Acceso T2F Sala Clima 1T2FLT009  Centro;;
906;Lector Control De Acceso T2F Sala Electrica  1T2FLT007  Centro;;
907;Lector Control De Acceso T2F Sala CCDD  1T2FLT011  Poniente;;
908;Lector Control De Acceso T2F Sala Electrica  1T2FLT013  Poniente;;
909;Lector Control De Acceso T2F Ingreso Vestibulo ASC 26 Nivel 1;;
910;Lector Control De Acceso T2F Sala de Aseo y Basuras;;
911;Lector Control De Acceso T2F Salida Emergencia Escala 24  Nivel 1;;
912;Lector Control De Acceso T2F Sala Clima  1T2FLT015  Poniente;;
913;Lector Control De Acceso T2F Sala Clima y Bombeo  1T2FLT038;;
914;Lector Control De Acceso T2F Sala Fotovoltaica Nivel 1T2FLT034 Sur;;
915;Lector Control De Acceso T2F Sala Fotovoltaica Nivel 1T2FLT035  Norte;;
916;Lector Control De Acceso T2F PBB  SALA PTE. F2;;
917;Lector Control De Acceso T2F PBB  SALA PTE. F4;;
918;Lector Control De Acceso T2F PBB  SALA PTE. F6;;
919;Lector Control De Acceso T2F PBB  SALA PTE. F1;;
920;Lector Control De Acceso T2F PBB  SALA PTE. F3;;
921;Lector Control De Acceso T2F PBB  SALA PTE. F5;;
922;Lector Control De Acceso T2F Pasillo desembarque  F5 Nivel 2 Norte;;
923;Lector Control De Acceso T2F Pasillo desembarque  F5 Nivel 2 Sur;;
924;Lector Control De Acceso T2F Pasillo desembarque  F6 Nivel 2 Sur;;
925;Lector Control De Acceso T2F Pasillo desembarque  F6 Nivel 2 Norte;;
926;Lector Control De Acceso T2F Pasillo desembarque  F4 Nivel 2 Sur;;
927;Lector Control De Acceso T2F Pasillo desembarque  F4 Nivel 2 Norte;;
928;Lector Control De Acceso T2F Pasillo desembarque  F3 Nivel 2 Norte;;
929;Lector Control De Acceso T2F Pasillo desembarque  F3 Nivel 2 Sur;;
930;Lector Control de Acceso T2F Conector T2F - T2M  Lado Sur-Ori Nivel 2;;
931;Lector Control de Acceso T2F Conector T2F - T2M  Lado Nor-Ori Nivel 2;;
932;Lector Control de Acceso T2F Conector T2F - T2M  Lado Sur-Pon Nivel 2;;
933;Lector Control de Acceso T2F Conector T2F - T2M  Lado Nor-Pon Nivel 2;;
934;Lector Control De Acceso T2F Pasillo desembarque  F2 Nivel 2 Sur;;
935;Lector Control De Acceso T2F Pasillo desembarque  F2 Nivel 2 Norte;;
936;Lector Control De Acceso T2F Pasillo desembarque  F1 Nivel 2 Norte;;
937;Lector Control De Acceso T2F Pasillo desembarque  F1 Nivel 2 Sur;;
938;Lector Control De Acceso T2F Sala Clima Conector T2F-T2M Nivel 2T2FLT002;;
939;Lector Control De Acceso T2F Sala Clima Conector T2F-T2M Nivel 2T2FLT003;;
940;Lector Control De Acceso T2F Nivel 2  Escalera Emergencia  41;;
941;Lector Control De Acceso T2F Nivel 2 Escalera Emergencia  40;;
942;Lector Control de Acceso T2F F2 Acceso a plataforma Interior;;
943;Lector Control de Acceso T2F F2 Acceso a plataforma Exterior;;
944;LeFtor Fontrol De Acceso T2F Prepuente a pasillo desemb. F2A;;
945;Lector Control De Acceso T2F pre pasarela F4   Emergencia;;
946;Lector Control de Acceso T2F F4 Acceso a plataforma interior;;
947;Lector Control de Acceso T2F F4 Acceso a plataforma exterior;;
948;Lector Control de Acceso T2F Prepuente a pasillo desemb. F4B;;
949;Lector Control de Acceso T2F Prepuente a pasillo desemb. F4A;;
950;Lector Control De Acceso T2F pre pasarela F6   Emergencia;;
951;Lector Control de Acceso T2F F6 Acceso a plataforma interior;;
952;Lector Control de Acceso T2F F6 Acceso a plataforma exterior;;
953;Lector Control de Acceso T2F Prepuente a pasillo desemb. F6B;;
954;Lector Control de Acceso T2F Prepuente a pasillo desemb. F6A;;
955;Lector Control de Acceso T2F F1 Acceso a plataforma Interior;;
956;Lector Control de Acceso T2F F1 Acceso a plataforma Exterior;;
957;LeFtor Fontrol De Acceso T2F Prepuente a pasillo desemb. F1A;;
958;Lector Control De Acceso T2F pre pasarela F3   Emergencia;;
959;Lector Control de Acceso T2F F3 Acceso a plataforma interior;;
960;Lector Control de Acceso T2F F3 Acceso a plataforma exterior;;
961;Lector Control de Acceso T2F Prepuente a pasillo desemb. F3B;;
962;Lector Control de Acceso T2F Prepuente a pasillo desemb. F3A;;
963;Lector Control De Acceso T2F pre pasarela F5   Emergencia;;
964;Lector Control de Acceso T2F F5 Acceso a plataforma interior;;
965;Lector Control de Acceso T2F F5 Acceso a plataforma exterior;;
966;Lector Control de Acceso T2F Prepuente a pasillo desemb. F5B;;
967;Lector Control de Acceso T2F Prepuente a pasillo desemb. F5A;;
968;Lector Control De Acceso T2F Embarque Puente F6 Lado Sur-Pon;;
969;Lector Control De Acceso T2F Embarque Puente F6 Lado Nor-Pon;;
970;Lector Control De Acceso T2F Embarque Puente F6 Lado Sur-Ori;;
971;Lector Control De Acceso T2F Embarque Puente F6 Lado Nor-Ori;;
972;Lector Control De Acceso T2F Sala Electrica  3T2FLT009  Oriente;;
973;Lector Control De Acceso T2F Sala CCDD  3T2FLT008  Oriente;;
974;Lector Control De Acceso T2F Embarque Puente F5 Lado Nor-Ori;;
975;Lector Control De Acceso T2F Embarque Puente F5 Lado Sur-Ori;;
976;Lector Control De Acceso T2F Embarque Puente F5 Lado Nor-Pon;;
977;Lector Control De Acceso T2F Embarque Puente F5 Lado Sur-Pon;;
978;Lector Control De Acceso T2F Embarque Puente F4 Lado Sur-Pon;;
979;Lector Control De Acceso T2F Embarque Puente F4 Lado Nor-Pon;;
980;Lector Control De Acceso T2F Embarque Puente F4 Lado Sur-Ori;;
981;Lector Control De Acceso T2F Embarque Puente F4 Lado Nor-Ori;;
982;Lector Control De Acceso T2F Embarque Puente F3 Lado Nor-Pon;;
983;Lector Control De Acceso T2F Embarque Puente F3 Lado Sur-Pon;;
984;Lector Control De Acceso T2F Embarque Puente F3 Lado Nor-Ori;;
985;Lector Control De Acceso T2F Embarque Puente F3 Lado Sur-Ori;;
986;Lector Control De Acceso T2F Embarque Puente F2 Lado Sur;;
987;Lector Control De Acceso T2F Embarque Puente F2 Lado Norte;;
988;Lector Control De Acceso T2F Embarque Puente F1 Lado Norte;;
989;Lector Control De Acceso T2F Embarque Puente F1 Lado Sur;;
990;Lector Control De Acceso T2F Sala CCDD  3T2FLT002  Poniente;;
991;Lector Control De Acceso T2F Sala Electrica  3T2FLT004  Poniente;;
992;Lector Control De Acceso T2F Vestibulo ASC 26 Nivel 3 ;;
993;LECTOR NO ASIGNADO;;
994;Lector Control De Acceso T2F Vestibulo a Escala 024  Nivel 3 ;;
995;Lector Control De Acceso T2F Conector T2F - T2M  Lado Sur-Ori Nivel 3;;
996;Lector Control De Acceso T2F Conector T2F - T2M  Lado Nor-Ori Nivel 3;;
997;Lector Control De Acceso T2F Conector T2F - T2M  Lado Sur-Pon Nivel 3;;
998;Lector Control De Acceso T2F Conector T2F - T2M  Lado Nor-Pon Nivel 3;;
999;Lector Control De Acceso T2F Escalera Emergencia  41  Nivel 3;;
1000;Lector Control De Acceso T2F Escalera Emergencia  40   Nivel 3;;
1001;Lector Control De Acceso T2F Escala Servicio Plataforma Puente F1A;;
1002;Lector Control De Acceso T2F Escala Servicio Plataforma Puente F2A;;
1003;Lector Control De Acceso T2F Escala Servicio Plataforma Puente F3A;;
1004;Lector Control De Acceso T2F Escala Servicio Plataforma Puente F3B;;
1005;Lector Control De Acceso T2F Escala Servicio Plataforma Puente F4A;;
1006;Lector Control De Acceso T2F Escala Servicio Plataforma Puente F4B;;
1007;Lector Control De Acceso T2F Escala Servicio PlataformaPuente F5A;;
1008;Lector Control De Acceso T2F Escala Servicio PlataformaPuente F5B;;
1009;Lector Control De Acceso T2F Escala Servicio PlataformaPuente F6A;;
1010;Lector Control De Acceso T2F Escala Servicio PlataformaPuente F6B;;
1011;LECTOR NO ASIGNADO;;
1012;Lector Control De Acceso T2F Acceso a subterráneo interno;;
1013;Lector Control De Acceso T2F Acceso a subterráneo externo;;
1100;Lector Control De Acceso T1A Salida de Emergencia a plataforma Escala X;;
1101;Lector Control De Acceso T1A Sala Electrica  1T1ALT;;
1102;Lector Control De Acceso T1A NIvel 1 Entrada Escala Emergencia ;;
1103;Lector Control De Acceso T1A Sub Estacion Electrica  1T1ALT;;
1104;Lector Control De Acceso T1A Sala Electrica  1T1ALT;;
1105;Lector Control De Acceso T1A Sala Electrica  1T1ALT;;
1106;Lector Control De Acceso T1A Sala Electrica  PBB4  1T1ALT;;
1107;Lector Control De Acceso T1A Sala Electrica  PBB2  1T1ALT;;
1108;LECTOR NO ASIGNADO;;
1109;Lector Control De Acceso T1A Sala Electrica  PBB1  1T1ALT;;
1110;Lector Control De Acceso T1A Sala Electrica  PBB3  1T1ALT;;
1111;Lector Control De Acceso T1A  Puerta Embarque PBB 3 Poniente;;
1112;LECTOR NO ASIGNADO;;
1113;Lector Control De Acceso T1A  Puerta Embarque PBB 3 Oriente;;
1114;LECTOR NO ASIGNADO;;
1115;Lector Control De Acceso T1A  Puerta Embarque PBB 1 Poniente;;
1116;LECTOR NO ASIGNADO;;
1117;Lector Control De Acceso T1A  Puerta Embarque PBB 1 Oriente;;
1118;LECTOR NO ASIGNADO;;
1119;Lector Control De Acceso T1A  Puerta Embarque PBB 4 Oriente;;
1120;LECTOR NO ASIGNADO;;
1121;Lector Control De Acceso T1A  Puerta Embarque PBB 4 Poniente;;
1122;Lector Control De Acceso T1A Sala CCDD  2T1ALT;;
1123;Lector Control De Acceso T1A Sala Electrica  2T1ALT;;
1124;Lector Control De Acceso T1A Sala CCDD  2T1ALT;;
1125;LECTOR NO ASIGNADO;;
1126;Lector Control De Acceso T1A Sala CCDD  2T1ALT;;
1127;Lector Control De Acceso T1A Ingreso vestibulo Escala Emergencia;;
1128;LECTOR NO ASIGNADO;;
1129;Lector Control De Acceso T1A  Puerta Embarque PBB 2 Oriente;;
1130;LECTOR NO ASIGNADO;;
1131;Lector Control De Acceso T1A  Puerta Embarque PBB 2 Poniente;;
1132;Lector Control De Acceso T1A Sala Clima   2T1ALT;;
1133;Lector Control De Acceso T1A Sala Clima   2T1ALT;;
1134;Lector Control De Acceso T1A  Acceso a plataforma Exterior  PBB4;;
1135;Lector Control De Acceso T1A  Acceso a plataforma Interior  PBB4;;
1136;Lector Control De Acceso T1A  Prepuente a pasillo desemb. PBB4B;;
1137;Lector Control De Acceso T1A  Prepuente a pasillo desemb. PBB4A;;
1138;Lector Control De Acceso T1A  Acceso a plataforma Exterior  PBB2;;
1139;Lector Control De Acceso T1A  Acceso a plataforma Interior  PBB2;;
1140;Lector Control De Acceso T1A  Prepuente a pasillo desemb. PBB2B;;
1141;Lector Control De Acceso T1A  Prepuente a pasillo desemb. PBB2A;;
1142;Lector Control De Acceso T1A  Acceso a plataforma Exterior  PBB3;;
1143;Lector Control De Acceso T1A  Acceso a plataforma Interior  PBB3;;
1144;Lector Control De Acceso T1A  Prepuente a pasillo desemb. PBB3A;;
1145;Lector Control De Acceso T1A  Prepuente a pasillo desemb. PBB3B;;
1146;Lector Control De Acceso T1A  Acceso a plataforma Exterior  PBB1;;
1147;Lector Control De Acceso T1A  Acceso a plataforma Interior  PBB1;;
1148;Lector Control De Acceso T1A  Prepuente a pasillo desemb. PBB1A;;
1149;Lector Control De Acceso T1A  Prepuente a pasillo desemb. PBB1B;;
1150;Lector Control De Acceso T1A Sala Clima   3T1ALT;;
1151;Lector Control De Acceso T1A Ingreso Sala Clima Sobre PBB2;;
1152;Lector Control De Acceso T1A Ingreso Sala Clima Sobre PBB4;;
1153;Lector Control De Acceso T1A Ingreso Sala Clima Sobre PBB1;;
1154;Lector Control De Acceso T1A Ingreso Sala Clima Sobre PBB3;;
1155;Lector Control De Acceso T1A Ingreso vestibulo Escala Emergencia;;
1156;VER UBICACIÓN;;
1157;VER UBICACIÓN;;
1500;LECTOR DE CONTROL DE ACCESO T2M Oficina Apoyo Manejo Equipaje;;
1501;LECTOR DE CONTROL DE ACCESO T2M  Sala Matrices ST2MLT023 Nor-Pon;;
1502;LECTOR DE CONTROL DE ACCESO T2M  Sala CCDD  ST2MLT024  Nor-Pon;;
1503;LECTOR DE CONTROL DE ACCESO T2M  Lector Emergencia a Escala 15;;
1504;LECTOR DE CONTROL DE ACCESO T2M  Lector Vestibulo a Escala Emergencia 15;;
1505;LECTOR DE CONTROL DE ACCESO T2M  Ingreso a sala revisión CBRA;;
1506;LECTOR DE CONTROL DE ACCESO T2M  Ingreso a sala revisión CBRA;;
1507;LECTOR DE CONTROL DE ACCESO T2M  Sala Electrica  ST2MLT017  Nor-Pon;;
1508;LECTOR DE CONTROL DE ACCESO T2M  Ingreso Sala Clima  ST2MLT016  Poniente;;
1509;LECTOR DE CONTROL DE ACCESO T2M  Ingreso Sala Bombeo  ST2MLT035  Poniente;;
1510;LECTOR DE CONTROL DE ACCESO T2M  Ingreso Sala Bombeo  ST2MLT034  Oriente;;
1511;LECTOR DE CONTROL DE ACCESO T2M  Ingreso Sala Clima  ST2MLT013  Oriente;;
1512;LECTOR DE CONTROL DE ACCESO T2M  Sala Electrica  ST2MLT027  Nor-Ori;;
1513;LECTOR DE CONTROL DE ACCESO T2M  Sala CCDD  ST2MLT030  Nor-Ori;;
1514;LECTOR DE CONTROL DE ACCESO T2M  Sala Bombas Agua Potable ST2MLT029;;
1515;LECTOR DE CONTROL DE ACCESO T2M  Lector Emergencia a Escala 04;;
1516;LECTOR DE CONTROL DE ACCESO T2M  Lector Vestibulo a Escala Emergencia 04;;
1517;LECTOR DE CONTROL DE ACCESO T2M  Lector Sala Bombas  ST2MLT011  Oriente;;
1518;LECTOR DE CONTROL DE ACCESO T2M  Ingreso Sala Clima  ST2MLT009  Poniente;;
1519;LECTOR DE CONTROL DE ACCESO T2M  Ingreso Sala OSR  ;;
1520;LECTOR DE CONTROL DE ACCESO T2M  Sala Matrices ST2MLT037  Sur-Pon;;
1521;LECTOR DE CONTROL DE ACCESO T2M  Sala CCDD  ST2MLT026 Sur- Pon;;
1522;LECTOR DE CONTROL DE ACCESO T2M  Sala Electrica  ST2MLT019  Sur-Pon;;
1523;LECTOR DE CONTROL DE ACCESO T2M  Lector Ingreso a Escala 13 Exterior;;
1524;LECTOR DE CONTROL DE ACCESO T2M  Lector Escala 13 Interior;;
1525;LECTOR DE CONTROL DE ACCESO T2M  Lector Ingreso Vestibulo Ascensor 15;;
1526;LECTOR DE CONTROL DE ACCESO T2M  Lector Ingreso Sala Revision  RX  Nor-Pon;;
1527;LECTOR DE CONTROL DE ACCESO T2M  Lector Ingreso Sala Revision  RX  Nor-Pon;;
1528;LECTOR DE CONTROL DE ACCESO T2M  Lector Ingreso Sala Revision  RX  Sur-Pon;;
1529;LECTOR DE CONTROL DE ACCESO T2M  Lector Ingreso Sala Revision  RX  Sur-Pon;;
1530;LECTOR DE CONTROL DE ACCESO T2M  Lector Ingreso Sala Revision  RX  Nor-Ori;;
1531;LECTOR DE CONTROL DE ACCESO T2M  Lector Ingreso Sala Revision  RX  Nor-Ori;;
1532;LECTOR DE CONTROL DE ACCESO T2M  Lector Ingreso a Escala 06 Exterior;;
1533;LECTOR DE CONTROL DE ACCESO T2M  Lector Escala 06 Interior;;
1534;LECTOR DE CONTROL DE ACCESO T2M  Lector Ingreso Vestibulo Ascensor 08;;
1535;LECTOR DE CONTROL DE ACCESO T2M  Lector Ingreso Sala Revision  RX  Sur-Ori;;
1536;LECTOR DE CONTROL DE ACCESO T2M  Lector Ingreso Sala Revision  RX  Sur-Ori;;
1537;LECTOR DE CONTROL DE ACCESO T2M  Sala Electrica  ST2MLT020  Sur-Ori;;
1538;LECTOR DE CONTROL DE ACCESO T2M  Sala CCDD  ST2MLT006 Sur- Ori;;
1539;LECTOR DE CONTROL DE ACCESO T2M  Sala Matrices ST2MLT036 Sur-Ori;;
1540;LECTOR DE CONTROL DE ACCESO T2M  Ingreso Sala Clima  ST2MLT001  Oriente;;
1541;LECTOR DE CONTROL DE ACCESO T2M  Sub Estacion T2M-AB  1T2MLT037  Exterior;;
1542;LECTOR DE CONTROL DE ACCESO T2M  Sub Estacion T2M-AB  1T2MLT037  Interior;;
1543;LECTOR DE CONTROL DE ACCESO T2M  Sub Estacion T2M-AB  1T2MLT037  Pasillo;;
1544;LECTOR DE CONTROL DE ACCESO T2M Sala Electrica  1T2MLT038  Pasillo Nor-Pon;;
1545;LECTOR DE CONTROL DE ACCESO T2M Pasillo Proveedores Poniente Centro;;
1546;LECTOR DE CONTROL DE ACCESO T2M Pasillo Proveedores Poniente Centro  Interior;;
1547;LECTOR DE CONTROL DE ACCESO T2M Sala de Aseo y Basuras Interior;;
